store_name,store_postal,product_name,persona,size_type,description,price_cad,unit,available,price_approximate,collection_date,needs_manual_review
Real Canadian Superstore Seymour Blvd,V7J 2J4,Wild Blueberries,Indigenous,bulk,President's Choice Wild Blueberries 1.5kg (no 1kg; closest large size),19.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Bison Ground Meat,Indigenous,small,PC Free From Bison Burgers 512g - Out of Stock,,each,FALSE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Bison Ground Meat,Indigenous,bulk,No bison available - Out of Stock,,each,FALSE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Russet Potatoes,Indigenous,small,PC Organics Organic Russet Potatoes 3 lb bag (1.36kg; no regular 3lb available),6.5,each,TRUE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Russet Potatoes,Indigenous,bulk,Farmer's Market Russet Potatoes 10 lb Bag (4.54kg),7,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Pinto Beans,Indigenous,small,Unico Pinto Beans 540ml (sale $1.79 limit 4; reg $1.99),1.79,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Pinto Beans,Indigenous,bulk,Unico Pinto Beans 540ml x6 (no 6-pack; 6x$1.99 est.),11.94,each,TRUE,TRUE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Quaker Oats,Indigenous,small,Quaker Large Flake Oats 1kg (sale $3.75 limit 3; reg $4.29),3.75,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Quaker Oats,Indigenous,bulk,Quaker Quick Oats 2.25kg,7.79,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Crisco Shortening,Indigenous,small,Crisco All-Vegetable Shortening 454g,4.29,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Crisco Shortening,Indigenous,bulk,Crisco All-Vegetable Shortening 1.36kg,12.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Wheat Bread,Others,small,Wonder Whole Wheat Bread 570g,3,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Wheat Bread,Others,bulk,Wonder Whole Wheat Bread 570g x2 (no 2-loaf pack; 2x$3.00 est.),6,each,TRUE,TRUE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Chicken Breast,Others,small,PC Blue Menu Extra Lean Chicken Breast Fillets 1 ea (~1kg; size varies),13,each,TRUE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Chicken Breast,Others,bulk,Sufra Halal Boneless Skinless Chicken Breast 1.505kg (no 1.8kg; closest),30,each,TRUE,FALSE,2026-05-11,TRUE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Russet Potatoes,Others,small,President's Choice Russet Potatoes 5 lb Bag (2.27kg),5.5,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Russet Potatoes,Others,bulk,Farmer's Market Russet Potatoes 10 lb Bag (4.54kg),7,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Carrots,Others,small,Farmer's Market Carrots 2 lb bag (907g; no 3lb available),3.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Carrots,Others,bulk,Farmer's Market Carrots 5LB (2.27kg; sale $4.90 limit 1; reg $7.00),4.9,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Black Beans,Others,small,No Name Black Beans 540ml,1.5,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Black Beans,Others,bulk,No Name Black Beans 540ml x6 (no 6-pack; 6x$1.50 est.),9,each,TRUE,TRUE,2026-05-11,FALSE
